"CAMIS","Total","Critical","Not Critical","Not Applicable"
"40515670","5","1","4","0"
"40515675","13","5","8","0"
"40515702","17","6","11","0"
"40516509","18","7","11","0"
"40516511","2","1","1","0"
"40517120","20","10","10","0"
"40520604","3","1","2","0"
"40520857","29","19","10","0"
"40521003","14","7","7","0"
"40521343","10","4","6","0"
"40522190","11","4","7","0"
"40523865","4","3","1","0"
"40523972","7","0","7","0"
"40524836","4","1","3","0"
"40524837","15","8","7","0"
"40524888","9","6","2","1"
"40525206","23","12","11","0"
"40525767","20","12","8","0"
"40526104","7","2","5","0"
"40526406","6","3","3","0"
"40528073","4","2","2","0"
"40528180","14","8","6","0"
"40528441","19","11","8","0"
"40529203","5","3","2","0"
"40529979","28","13","14","1"
"40530159","7","4","3","0"
"40530583","14","8","6","0"
"40530630","12","6","6","0"
"40530791","5","2","3","0"
"40532870","13","4","9","0"
"40533002","6","4","2","0"
"40533515","26","15","11","0"
"40534870","3","0","3","0"
"40534912","28","15","13","0"
"40534973","3","2","1","0"
"40535136","8","2","6","0"
"40535336","13","6","7","0"
"40535383","13","6","7","0"
"40535399","11","8","3","0"
"40535467","27","15","12","0"
"40535659","9","3","6","0"
"40535738","5","4","1","0"
"40536227","13","5","8","0"
"40536280","4","2","2","0"
"40536414","28","13","15","0"
"40536534","11","6","5","0"
"40536591","14","8","6","0"
"40536616","17","8","9","0"
"40536785","12","7","5","0"
"40537290","12","8","4","0"
"40537494","26","12","14","0"
"40537686","6","3","3","0"
"40537963","16","7","9","0"
"40538061","15","11","4","0"
"40538189","11","6","5","0"
"40538234","7","4","3","0"
"40538563","19","9","10","0"
"40538662","9","3","5","1"
"40538766","6","2","4","0"
"40539007","6","2","4","0"
"40539661","11","3","8","0"
"40539772","8","3","4","1"
"40541030","14","9","5","0"
"40542345","17","9","8","0"
"40542427","13","6","7","0"
"40542546","14","7","7","0"
"40543355","3","2","1","0"
"40544107","5","3","2","0"
"40544267","3","1","2","0"
"40544528","14","7","7","0"
"40544529","14","6","8","0"
"40544576","13","8","5","0"
"40544813","4","1","3","0"
"40544823","19","5","14","0"
"40544948","6","3","3","0"
"40544958","5","5","0","0"
"40545130","13","3","10","0"
"40545227","21","7","14","0"
"40545329","10","4","6","0"
"40545375","5","1","4","0"
"40545454","28","12","16","0"
"40545543","16","8","7","1"
"40545555","8","3","4","1"
"40545573","16","7","9","0"
"40545741","19","10","9","0"
"40545786","11","5","6","0"
"40546082","13","10","3","0"
"40546098","6","4","2","0"
"40546234","2","1","1","0"
"40546306","6","4","2","0"
"40546350","29","13","14","2"
"40546650","4","3","1","0"
"40547085","22","8","14","0"
"40547434","6","3","3","0"
"40547548","23","11","12","0"
"40547874","6","4","2","0"
"40547933","32","17","14","1"
"40548426","6","2","4","0"
"40548730","6","3","3","0"
"40548768","4","1","3","0"
"40549443","15","7","8","0"
"40549610","7","1","6","0"
"40549885","22","10","12","0"
"40549913","5","2","3","0"
"40550150","2","2","0","0"
"40550155","27","19","8","0"
"40550548","8","3","5","0"
"40550765","7","2","5","0"
"40551093","9","5","4","0"
"40551234","5","4","1","0"
"40551765","25","9","15","1"
"40551807","5","2","3","0"
"40551900","3","1","2","0"
"40552366","9","4","5","0"
"40553257","8","4","4","0"
"40553443","16","7","9","0"
"40553581","10","4","6","0"
"40553657","14","8","6","0"
"40554018","2","2","0","0"
"40554183","4","2","2","0"
"40554349","3","1","2","0"
"40554360","4","2","2","0"
"40554369","5","2","3","0"
"40554463","16","7","9","0"
"40556572","10","5","5","0"
"40557466","14","7","6","1"
"40557901","14","9","5","0"
"40557912","15","8","7","0"
"40558850","4","2","2","0"
"40559439","9","7","2","0"
"40559606","13","5","8","0"
"40559634","18","8","10","0"
"40559636","9","5","4","0"
"40559892","4","2","2","0"
"40560112","21","12","9","0"
"40560302","7","2","5","0"
"40560440","6","3","3","0"
"40560823","7","2","5","0"
"40560927","7","3","4","0"
"40560931","7","4","3","0"
"40560933","5","2","3","0"
"40560935","3","1","2","0"
"40560941","4","1","3","0"
"40560945","6","1","4","1"
"40560949","5","2","3","0"
"40560953","7","7","0","0"
"40561234","5","1","4","0"
